Power_network_size,spatial_cluster_method,temporal_cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,shed-cost,storage-cost,tran-est-cost,CCS-cost,emission_e,num-est-tran,total-str-lev,total-str-cap,num-est-str,total-flow,NG-cost,NG-import-cost,RNG-import-cost,inv-storage,FOM-storage,shed-cost,pipe-est-cost,emission_g,num-est-pipe,total-ng-shed,total-RNG-import,total-flowGE,Production:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
6,GNN,pca,5,4,RM,0.8,0.0,False,True,0,0,7.889100790023804,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN,pca,2,4,RM,0.8,0.0,False,True,0,0,22.796463012695312,32559594747.564682,22707070936.1228,11126120000.0,300000000.0,1283029000.0,173978748.9491349,149704671.74400002,1171559970.0382943,0.0,9597226470.642574,77012044.78709666,0.0,0,6606239.490207264,0,3053.9415980352856,1137.7151777714964,88,5748860.64000011,9852523811.441881,1880446663.9698067,6917877147.4720745,0.0,1054200000.0,0.0,0.0,6893760.5097926855,0,0.0,2239580.3945806986,1472776.7141692932,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3280773.7898269766,8031168.0,14016000.0,14609561.853162441,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,796.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN,pca,365,4,RM,0.8,0.0,False,True,0,0,1566.8973603248596,24241602774.13463,1562377592.6192882,18325375887.067314,0.0,0.0,399211228.5094663,1576670.8281791278,0.0,0.0,1153412054.411457,8177638.870409139,0.0,0,2070233.5748213457,0,382.15701087225494,72.96998133958421,5,377990999.26842886,4353849294.448025,2567620815.81953,732028478.6285,0.0,1054200000.0,0.0,0.0,11429766.42517865,0,0.0,36601423.93142496,882396.4151475815,Production:,74688067.8185416,866506.105163913,1773232.0448509487,22166386.912051965,206586.8485559656,1027130.888925558,9823030.637491405,96000.0,15726644.78708402,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,796.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0-0,pca,5,4,RM,0.8,0.0,False,True,0,0,2.4783730506896973,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0-0,pca,2,4,RM,0.8,0.0,False,True,0,0,16.22393250465393,32628087508.956284,22772795242.15136,10931240000.0,300000000.0,1278679000.0,174049954.0767847,149704671.74400002,1172314374.1247184,0.0,9886768981.746128,52352634.58443427,0.0,0,6613575.896919278,0,1972.096981559306,859.3640309120321,88,5748860.64000011,9855292266.804922,1880446663.9697986,6920645602.835125,0.0,1054200000.0,0.0,0.0,6886424.103080602,0,0.0,2240733.917648636,1473581.4977050559,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3295014.815356942,8031168.0,14016000.000000002,13937717.980002668,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,767.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0-0,pca,365,4,RM,0.8,0.0,False,True,0,0,1566.173719882965,24070692841.300186,1575855257.1208448,18140305920.650093,0.0,0.0,407675819.7861399,1503393.6268662808,0.0,0.0,1158500917.489254,8175126.218648529,0.0,0,2354315.8950811755,0,381.82436190138384,73.12548637143189,5,375760822.53413683,4354531663.529248,2567679923.996279,732651739.5329752,0.0,1054200000.0,0.0,0.0,11145684.10491882,0,0.0,36632586.976648726,924404.9973888351,Production:,77260600.63716032,861955.7322841468,1771472.7812520948,22173966.722491484,196985.5381114102,72079.81441785257,10021223.226004533,96000.0,13906782.423356663,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,767.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0.5-0.5,pca,5,4,RM,0.8,0.0,False,True,0,0,2.542179584503174,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0.5-0.5,pca,2,4,RM,0.8,0.0,False,True,0,0,16.985050678253174,33389952183.242977,23948980495.278313,9459200000.0,300000000.0,1225879000.0,123629606.21772489,149704671.74400002,844549641.9075515,0.0,12659029158.781914,31538058.534676876,0.0,0,6298286.558704628,0,1106.801962001513,584.8384003189607,88,5748860.64000011,9440971687.964664,1585103193.8898032,6801668494.074862,0.0,1054200000.0,0.0,0.0,7201713.4412953,0,0.0,2191160.1223318595,1061586.5335305657,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3302465.2435449767,8031168.0,5606400.0,16746758.33740954,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,935.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0.5-0.5,pca,365,4,RM,0.8,0.0,False,True,0,0,1366.9897916316986,22541945692.136772,1568378505.9845932,16613512346.068386,0.0,0.0,406277713.9371781,1519626.9186463382,0.0,0.0,1152406038.910356,8175126.218648531,0.0,0,5634608.749430614,0,381.82436190138384,73.12548637143189,5,389504481.7702359,4360054840.083792,2566006319.3872614,739848520.6965326,0.0,1054200000.0,0.0,0.0,7865391.250569383,0,0.0,36992426.03482659,977160.641068958,Production:,77056933.32290582,868104.3068212105,1653188.177983909,21638115.74046668,199112.54175135476,57300.44782172459,10038960.0,38400.0,14822888.135640128,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,935.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0-0.5,pca,5,4,RM,0.8,0.0,False,True,0,0,2.5680110454559326,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0-0.5,pca,2,4,RM,0.8,0.0,False,True,0,0,16.440885066986084,33327510856.638515,23892747384.75541,9721280000.0,300000000.0,1231729000.0,123469929.87817854,149704671.74400002,842857903.0253259,0.0,12272468484.410389,94095298.72283602,0.0,0,6281834.786088487,0,3755.3314407179773,1370.293071575321,88,5748860.64000011,9434763471.883106,1585103193.889801,6795460277.993305,0.0,1054200000.0,0.0,0.0,7218165.213911423,0,0.0,2199198.259707545,1059781.819553367,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3270529.9756357064,8031168.0,5606400.0,17731706.344906244,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,974.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0-0.5,pca,365,4,RM,0.8,0.0,False,True,0,0,1561.5489597320557,22772600083.03215,1551363272.0136764,16862804541.516075,0.0,0.0,390048802.4885034,1596218.5073924353,0.0,0.0,1151540612.147506,8177638.870409139,0.0,0,4958688.030006956,0,382.1570108722549,72.96998133958421,5,376977085.67019403,4358432269.502398,2565866681.494382,738365588.0080208,0.0,1054200000.0,0.0,0.0,8541311.96999304,0,0.0,36918279.400401,877392.3749218015,Production:,72944968.36184941,866586.3972098138,1722522.9147169655,21751692.370189015,209148.12727888342,1218245.3704131707,9292018.786305105,38400.0,18334066.44726934,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,974.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0.5-0,pca,5,4,RM,0.8,0.0,False,True,0,0,2.5588133335113525,20922283112.79671,12633654697.97315,10281960000.001945,300000000.0,1251309900.0000582,232616951.5472003,149704671.74399996,1683551017.2500038,0.0,221850515.9525869,196212658.7273767,0.0,0,13500000.000000002,0,7693.626017984085,2970.8281665244026,6,2074723.2000000072,8288628414.82356,1683551017.2500033,5550877397.57356,0.0,1054200000.0,0.0,0.0,4.831235855817795e-09,0,0.0,4409808.004170002,5443705.111584776,Production:,28585713.509433523,852671.7689381177,1974373.9642485026,18536160.0,19615392.0,0.0,0.0,8409600.00000542,23380652.107284546,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000002243,1143.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0.5-0,pca,2,4,RM,0.8,0.0,False,True,0,0,16.98473286628723,32806052481.730026,22949893644.895176,10796840000.0,300000000.0,1275679000.0,174072242.40059996,149704671.74400002,1172550514.4578767,0.0,10245994592.622261,7603138.128323317,0.0,0,6615872.3074986115,0,287.5276141578824,123.8779117798628,88,5748860.64000011,9856158836.834848,1880446663.9698029,6921512172.8650465,0.0,1054200000.0,0.0,0.0,6884127.69250131,0,0.0,2299357.3496510014,1473833.4075974799,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3299472.4801199897,8031168.0,14016000.0,13120215.568891982,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,747.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0.5-0,pca,365,4,RM,0.8,0.0,False,True,0,0,1614.153623342514,22818258544.35106,1018338108.646283,17445388772.17553,0.0,0.0,460986120.15592927,2530151.22822537,0.0,0.0,480912515.7700666,73909321.49205945,0.0,0,2354315.8950811727,0,3527.6658378844,598.5420504213051,14,374674034.5456783,4354531663.529247,2567679923.996279,732651739.5329753,0.0,1054200000.0,0.0,0.0,11145684.104918823,0,0.0,36632586.97664872,924404.9973888353,Production:,87761008.67243119,797987.5225308528,1636309.7029455027,20833120.7935686,331518.76680101844,179918.56161876192,10021223.226004533,96000.0,6470974.286373305,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,747.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN,pca,10,4,RM,0.8,0.0,False,True,0,0,6.703956127166748,24483135525.58568,13816288268.024815,10404000000.002443,300000000.0000001,1313859900.0000734,373455001.6499938,149704671.74400002,2568618399.446641,0.0,1218995814.3916717,56272880.23666939,0.0,0,13500000.000000082,0,2302.723432158329,772.4701380611272,6,4149446.3999999412,10666847257.560863,2568618399.446646,7044028858.114222,0.0,1054200000.0,0.0,0.0,4.0236045606434345e-09,0,0.0,11823586.980669998,16418025.92056783,Production:,26511669.00360069,657876.971376034,1438513.0031581777,18536160.0,19615392.0,0.0,-1.7343320350790444e-08,33610978.771998145,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000002819,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN,pca,2,4,RM,0.8,0.0,False,True,0,0,20.590081453323364,33193296697.40119,22945067122.55,8466800000.0,300000000.0,1244629000.0,223920320.691144,149704671.74400002,1494252165.0505328,0.0,12552999833.63197,7013296.482981155,0.0,0,6872199.567529945,0,297.57453459598975,87.52192193999699,88,5748860.64000011,10248229574.851194,2175790134.049806,7018239440.801388,0.0,1054200000.0,0.0,0.0,6627800.432470006,0,0.0,2274004.108196912,1875828.5871965343,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3177568.138228799,8031168.0,22425600.0,107010.91378087243,107010.91378087243,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,6.0,6.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN,pca,365,4,RM,0.8,0.0,False,True,0,0,1664.6624312400818,21723600324.918385,1653975884.0495543,15717514662.459192,0.0,0.0,475147362.5498673,3872308.61131963,0.0,0.0,1166805894.7788723,8150318.109546357,0.0,0,736728.3483028888,0,381.09103309921534,72.551950840353,5,378352542.4070852,4352109778.409638,2568806936.5220776,729102841.8875645,0.0,1054200000.0,0.0,0.0,12763271.651697107,0,0.0,36455142.09437817,953751.4042557818,Production:,90459576.0589136,867870.0918443303,1771625.500079487,22171669.518632825,507377.96269911365,213517.861908845,9983952.0,133205.50338767905,118294.22761439467,118328.6336247548,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,6.0,6.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0-0,pca,10,4,RM,0.8,0.0,False,True,0,0,7.204162359237671,24483135525.58568,13816288268.024815,10404000000.002443,300000000.0000001,1313859900.0000734,373455001.6499938,149704671.74400002,2568618399.446641,0.0,1218995814.3916717,56272880.23666939,0.0,0,13500000.000000082,0,2302.723432158329,772.4701380611272,6,4149446.3999999412,10666847257.560863,2568618399.446646,7044028858.114222,0.0,1054200000.0,0.0,0.0,4.0236045606434345e-09,0,0.0,11823586.980669998,16418025.92056783,Production:,26511669.00360069,657876.971376034,1438513.0031581777,18536160.0,19615392.0,0.0,-1.7343320350790444e-08,33610978.771998145,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000002819,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0-0,pca,2,4,RM,0.8,0.0,False,True,0,0,21.345436811447144,33192724957.643837,22944495382.79264,8466800000.0,300000000.0,1244629000.0,223920320.691144,149704671.74400002,1494252165.0505333,0.0,12552428093.87461,7013296.482981155,0.0,0,6872199.567529945,0,297.57453459598975,87.52192193999699,88,5748860.64000011,10248229574.851198,2175790134.0498037,7018239440.8013935,0.0,1054200000.0,0.0,0.0,6627800.43246999,0,0.0,2281420.116801248,1875828.5871965336,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3177568.138228799,8031168.0,22425600.000000004,107582.6535382281,107582.6535382281,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,6.0,6.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0-0,pca,365,4,RM,0.8,0.0,False,True,0,0,1527.3451690673828,21763685093.376823,1673303685.87444,15737557046.688412,0.0,0.0,474814797.8369747,3832106.779263827,0.0,0.0,1186506463.1488984,8150318.109546356,0.0,0,1214798.110389787,0,381.09103309921534,72.55195084035299,5,370235655.0502209,4352824360.813972,2568472660.299635,730151700.5143455,0.0,1054200000.0,0.0,0.0,12285201.889610209,0,0.0,36507585.02571724,944859.2489078216,Production:,90426083.2077281,868327.4442294362,1779884.1664397256,22185802.890290204,502110.4270523888,191496.9401159871,9995067.194184951,122090.3092027287,118467.63426261181,118473.10124274898,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,6.0,6.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,GNN-0.5-0.5,pca,10,4,RM,0.8,0.0,False,True,0,0,7.932418584823608,24483135525.58568,13816288268.024815,10404000000.002443,300000000.0000001,1313859900.0000734,373455001.6499938,149704671.74400002,2568618399.446641,0.0,1218995814.3916717,56272880.23666939,0.0,0,13500000.000000082,0,2302.723432158329,772.4701380611272,6,4149446.3999999412,10666847257.560863,2568618399.446646,7044028858.114222,0.0,1054200000.0,0.0,0.0,4.0236045606434345e-09,0,0.0,11823586.980669998,16418025.92056783,Production:,26511669.00360069,657876.971376034,1438513.0031581777,18536160.0,19615392.0,0.0,-1.7343320350790444e-08,33610978.771998145,0.0,0.0,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000002819,0.0,0.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GNN-0.5-0.5,pca,2,4,RM,0.8,0.0,False,True,0,0,21.94057822227478,35256180280.076454,25811451470.656933,3264800000.0,300000000.0,1088629000.0,123726240.0,149704671.74400002,845573457.504,0.0,20884591558.912937,0.0,0.0,0,6308242.930559998,0,0.0,0.0,0,5748860.64000011,9444728809.419521,1585103193.889803,6805425615.529718,0.0,1054200000.0,0.0,0.0,7191757.069439928,0,0.0,2192725.5896047163,1062678.7200000007,Production:,3637152.0,754467.4887043749,1564040.2544594766,17891424.0,19615392.0,3321792.0,8031168.0,5606400.0,107078.29761310098,107078.29761310098,0.0,0.0,established:,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,6.0,0.0,0.0,decommissioned:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
